id,age,gender,education,employment_type,annual_income,loan_amount,loan_term,purpose,home_ownership,dependents
109346,26,Male,High School,Salaried,32281.11,25223.44,36,Wedding,Rent,0.0
101770,47,Male,Bachelors,Salaried,51899.39,18871.82,24,Home Improvement,Rent,0.0
105392,75,Female,High School,Salaried,54701.38,11996.46,24,Debt Consolidation,Rent,1.0
100150,38,Female,High School,Self-Employed,40570.07,11775.99,60,Debt Consolidation,Mortgage,0.0
102004,58,Female,High School,Self-Employed,43510.59,18450.24,36,Medical,Mortgage,0.0
101557,75,Male,Bachelors,Salaried,44821.79,9316.27,24,Auto,Rent,4.0
109993,32,Female,Bachelors,Unemployed,13737.34,3823.7,24,Home Improvement,Rent,0.0
110979,64,Female,Bachelors,Salaried,29868.62,7924.19,60,Debt Consolidation,Own,4.0
107861,40,Male,Bachelors,Salaried,65100.23,31548.3,36,Auto,Own,0.0
103251,64,Female,Masters,Salaried,66263.66,26668.09,48,Auto,Rent,5.0
109100,54,Male,High School,Self-Employed,37614.12,5916.39,24,Education,Mortgage,4.0
111838,52,Male,High School,Self-Employed,35399.7,13514.11,60,Auto,Rent,3.0
108586,49,Male,Bachelors,Salaried,73148.54,13309.39,72,Debt Consolidation,Own,2.0
112093,75,Female,High School,Salaried,33584.1,3120.31,84,Auto,Mortgage,4.0
111596,61,Female,Doctorate,Salaried,122564.01,109460.97,12,Medical,Mortgage,4.0
111183,58,Female,High School,Unemployed,12213.28,1068.21,36,Debt Consolidation,Own,3.0
113289,71,Male,High School,Contract,24130.27,6051.24,24,Auto,Own,0.0
102309,41,Female,High School,Salaried,17357.28,4616.84,12,Home Improvement,Mortgage,2.0
110574,57,Female,Masters,Salaried,130872.05,67043.77,24,Debt Consolidation,Mortgage,1.0
114417,75,Female,Bachelors,Self-Employed,68428.2,14567.51,84,Medical,Rent,1.0
113186,75,Male,High School,Self-Employed,52063.04,8743.58,36,Home Improvement,Mortgage,2.0
103739,67,Female,High School,Self-Employed,,24014.93,72,Business,Rent,5.0
113781,67,Male,Bachelors,Salaried,50817.64,34812.89,36,Other,Rent,1.0
112190,65,Male,High School,Contract,27680.33,13992.1,48,Education,Mortgage,0.0
100736,38,Male,Masters,Salaried,55946.91,15903.12,12,Debt Consolidation,Rent,
101370,75,Female,Masters,Self-Employed,,108248.73,72,Business,Rent,4.0
107224,68,Male,Other,Salaried,49859.02,38968.05,48,Home Improvement,Other,5.0
108396,45,Male,High School,Unemployed,10102.88,4909.78,60,Wedding,Mortgage,2.0
101565,59,Male,High School,Business Owner,41424.56,9779.58,60,Auto,Rent,
104966,42,Male,Bachelors,Salaried,63386.75,31366.53,36,Business,Mortgage,1.0
105306,62,Male,High School,Salaried,85852.9,52749.49,60,Auto,Rent,4.0
113885,75,Male,Bachelors,Salaried,45978.21,5007.42,24,Wedding,Mortgage,4.0
111755,37,Female,High School,Salaried,27220.76,4889.36,60,Debt Consolidation,Rent,0.0
103494,43,Male,Masters,Business Owner,100385.01,59717.39,36,Debt Consolidation,Other,2.0
100139,39,Male,Masters,Salaried,87283.69,8141.79,48,Auto,Rent,0.0
102774,56,Female,Bachelors,Salaried,60475.31,28908.05,48,Business,Rent,2.0
106147,52,Female,High School,Salaried,46742.35,13442.17,48,Medical,Rent,1.0
109812,75,Male,High School,Salaried,79739.17,10258.14,24,Debt Consolidation,Mortgage,2.0
110808,52,Female,Bachelors,Salaried,98905.51,65651.37,84,Debt Consolidation,Mortgage,6.0
103293,73,Male,High School,Self-Employed,48262.16,41629.04,36,Home Improvement,Own,2.0
110162,49,Male,Doctorate,Business Owner,109332.0,52173.28,48,Education,Mortgage,0.0
106740,34,Male,High School,Salaried,32502.34,12196.06,60,Debt Consolidation,Mortgage,0.0
102951,36,Female,Bachelors,Salaried,120727.24,39108.9,72,Home Improvement,Rent,1.0
107816,75,Female,Bachelors,Salaried,59635.85,13184.11,24,Medical,Rent,1.0
109882,60,Male,Bachelors,Salaried,32137.93,8920.19,12,Wedding,Own,4.0
104495,38,Male,Bachelors,Self-Employed,63947.05,10053.54,36,Business,Other,1.0
105908,42,Male,Other,Salaried,34606.42,7078.79,36,Business,Rent,2.0
106900,70,Female,Bachelors,Self-Employed,56132.53,9439.86,36,Debt Consolidation,Rent,1.0
