id,bureau_score,num_of_accounts,num_of_open_accounts,total_debt,delinquent_accounts
107928,710.0,9,7,9787.34,0
107821,486.0,1,1,31654.75,0
108358,655.0,9,5,17136.68,0
111697,566.0,3,2,18965.59,0
102212,494.0,3,1,19525.23,0
107546,497.0,1,0,59743.83,0
113676,810.0,8,5,0.0,0
114075,705.0,1,0,22726.9,0
105374,613.0,5,3,52491.86,1
101674,722.0,4,3,11558.58,0
110262,421.0,1,1,27520.74,1
102209,605.0,5,4,5949.52,1
107195,535.0,3,2,22814.99,0
111307,520.0,3,2,16154.01,0
106190,543.0,5,5,18323.29,1
100684,578.0,5,2,18654.58,1
105523,526.0,3,2,35825.07,0
101924,667.0,4,3,17722.77,0
103435,644.0,7,4,53614.83,1
105723,674.0,5,2,8190.78,0
112364,553.0,4,3,8672.28,0
108698,547.0,3,1,42071.54,2
108127,536.0,4,1,7930.11,1
112942,540.0,2,1,20160.84,0
110363,618.0,4,0,21445.0,0
105979,722.0,8,1,22650.12,0
103631,652.0,7,1,12018.76,0
103515,614.0,2,1,22554.46,0
108685,595.0,3,2,23497.98,0
102841,659.0,6,5,16185.44,0
114730,589.0,2,1,24511.67,0
103447,592.0,4,2,20354.82,0
108868,617.0,2,0,13068.88,1
103847,612.0,4,4,25414.55,0
107241,706.0,9,3,4718.0,0
114964,678.0,7,1,7203.18,0
113599,625.0,1,1,12897.31,0
108073,605.0,6,3,15432.47,0
103254,,0,0,26872.73,0
110183,609.0,2,1,4648.59,0
100270,530.0,3,2,107133.99,1
109399,562.0,2,1,26613.15,0
113751,631.0,3,2,235.78,0
111222,470.0,1,0,46579.96,1
110623,545.0,3,2,48410.58,1
101909,664.0,5,1,15079.64,0
113266,466.0,3,1,37372.95,0
105262,567.0,3,2,18408.07,0
109267,548.0,2,1,28453.29,1
107019,441.0,1,0,33513.0,1
101746,531.0,3,1,54760.72,2
101536,626.0,4,3,30522.82,1
109364,676.0,3,2,7098.43,0
107780,678.0,6,4,0.0,0
105377,619.0,5,3,15036.23,0
101784,534.0,2,2,35234.72,0
111903,665.0,2,1,21408.29,0
106061,610.0,5,3,17694.32,1
113850,448.0,2,2,57627.31,2
110282,704.0,5,2,14154.71,0
100918,603.0,2,1,43955.77,1
103305,577.0,1,1,16670.49,1
107950,,0,0,36713.81,0
104045,580.0,2,1,34155.36,0
102416,675.0,9,3,25565.64,0
111056,763.0,9,7,13609.9,0
100782,726.0,6,3,6707.62,0
105664,556.0,2,1,46827.37,1
100457,713.0,6,1,0.0,0
109443,,0,0,34100.93,0
113592,748.0,8,3,11467.11,0
100455,763.0,12,2,69321.0,0
101048,710.0,8,2,25281.19,0
103039,580.0,4,4,38349.26,0
103127,478.0,1,1,55331.94,0
110778,577.0,2,1,19584.9,1
110969,610.0,2,1,21481.12,0
113969,676.0,2,1,17746.98,0
103448,839.0,6,3,1082.23,0
111952,657.0,4,2,23392.1,0
109518,597.0,7,4,0.0,1
101544,609.0,5,3,12848.31,1
100186,661.0,3,2,5016.5,0
105047,658.0,4,1,23070.62,0
107607,638.0,5,1,6813.06,0
100718,617.0,4,3,20641.64,0
114078,494.0,3,2,13784.89,3
114056,546.0,3,3,70277.2,1
109551,562.0,7,6,23476.95,0
110324,702.0,5,2,83707.97,0
106116,644.0,4,2,17022.85,0
100983,779.0,3,0,27628.02,0
111548,805.0,8,4,0.0,0
102564,354.0,1,1,14595.96,1
103204,580.0,3,1,5685.21,1
101510,671.0,6,3,22728.37,0
104474,607.0,3,2,17088.83,0
107789,760.0,2,0,0.0,0
111972,,0,0,77494.92,0
102260,592.0,4,3,29183.99,0
108875,577.0,6,4,30722.09,0
110729,597.0,7,2,2911.84,0
104030,565.0,4,2,55808.14,0
102635,591.0,4,1,16431.4,0
109660,436.0,2,1,18641.25,0
106978,673.0,6,2,2558.31,0
108139,507.0,2,1,21269.54,0
110271,502.0,3,2,22680.08,2
114677,749.0,6,3,24683.57,0
111705,527.0,2,2,33431.55,0
105847,555.0,1,0,42738.25,1
101233,536.0,4,2,26255.57,0
107778,432.0,1,0,87445.31,1
106247,762.0,5,2,7904.19,0
112590,679.0,3,1,6779.34,0
114924,463.0,2,2,42259.12,1
105236,593.0,2,1,33421.14,1
109330,727.0,4,0,41810.04,0
104414,552.0,2,0,13531.0,2
103681,635.0,5,3,33785.18,1
106424,567.0,5,2,30547.53,0
112791,502.0,2,1,46884.62,2
106245,545.0,1,1,2997.44,0
107626,537.0,5,5,38733.15,0
107101,646.0,5,2,23910.73,0
101586,675.0,8,2,10746.99,0
113131,598.0,4,2,12723.28,0
100293,640.0,2,2,2099.6,0
106344,528.0,6,5,66849.83,0
111432,622.0,3,1,77236.01,0
100329,497.0,3,1,37924.13,1
108688,737.0,3,1,7203.8,0
104395,482.0,4,3,23792.78,1
101405,616.0,7,3,25697.24,1
113521,504.0,3,1,27652.63,1
107966,540.0,2,0,21678.85,0
102839,804.0,1,1,0.0,0
110668,450.0,2,1,7619.17,2
100978,629.0,11,1,6263.77,0
106015,607.0,4,3,22467.29,0
112390,715.0,3,2,3563.35,0
102108,628.0,6,3,16938.56,0
102712,640.0,3,2,62644.71,0
108820,617.0,1,1,12513.78,0
107972,511.0,1,1,29865.21,0
114470,725.0,3,2,41511.16,0
100348,505.0,3,2,40028.07,0
105795,538.0,4,3,29079.9,1
109705,498.0,2,0,69832.99,0
105368,627.0,2,1,27312.62,0
103066,694.0,2,0,46844.01,0
111193,778.0,6,2,1709.8,0
109463,618.0,4,3,35959.37,0
111127,665.0,6,4,16650.93,0
106830,487.0,4,4,45473.17,0
102863,440.0,3,1,29147.58,1
113587,582.0,2,0,36274.4,0
111608,603.0,1,1,23153.97,0
103501,641.0,4,2,15817.81,0
104440,695.0,9,2,22217.36,0
112613,547.0,5,3,34341.73,1
108699,569.0,6,4,3556.04,0
103316,622.0,3,2,32848.52,1
112104,654.0,1,0,16122.44,1
108021,568.0,5,2,28704.52,1
100269,592.0,1,1,16743.65,0
103949,536.0,1,1,14953.66,1
105298,667.0,10,3,20547.35,0
102070,641.0,2,1,2006.92,0
114128,405.0,2,2,19237.08,1
102195,402.0,2,1,37359.33,2
102413,630.0,3,1,21899.71,2
107453,650.0,8,3,34873.7,0
100747,542.0,4,3,79030.58,0
104156,512.0,5,3,29928.67,0
110027,740.0,4,0,4303.23,0
110850,499.0,4,1,68705.28,0
100929,569.0,6,3,33199.81,0
111408,616.0,4,2,7650.28,1
109520,546.0,5,1,25751.64,1
104374,585.0,2,0,28538.24,0
102926,609.0,5,4,75760.7,0
103390,574.0,3,1,20705.01,0
105755,692.0,8,6,12074.41,0
100521,615.0,1,0,11858.73,1
104754,616.0,2,2,26430.79,0
111478,669.0,2,1,4827.54,0
101651,728.0,3,1,9644.27,0
111194,704.0,12,6,4805.59,0
103945,573.0,1,0,20294.16,0
114311,446.0,1,1,17140.06,1
102381,577.0,5,3,34755.27,0
105542,472.0,4,1,32549.84,0
110569,642.0,6,3,12086.12,0
101298,594.0,5,4,33774.88,1
113465,647.0,2,2,15257.39,0
106086,,0,0,13577.96,0
112322,748.0,3,1,4364.46,0
107791,477.0,2,2,74136.88,1
106586,586.0,3,1,12345.94,0
101944,552.0,1,0,35067.6,0
113066,613.0,2,1,35799.8,0
108642,534.0,6,2,26351.81,1
113756,583.0,3,2,2062.5,0
107508,571.0,4,3,59729.1,1
111503,697.0,3,1,14851.69,0
104460,496.0,2,1,19392.52,0
108240,400.0,1,1,70027.61,1
100427,,0,0,45208.1,0
114192,593.0,4,2,14065.34,0
104027,,0,0,59241.15,0
110516,594.0,4,2,14298.61,0
103189,,0,0,25300.84,0
108879,652.0,8,2,44705.49,0
112003,848.0,14,8,0.0,0
107883,729.0,4,2,19492.22,0
100868,649.0,5,3,61054.73,0
102270,689.0,6,1,5637.36,0
111231,513.0,6,4,60694.17,0
103689,612.0,4,2,14834.56,0
103829,696.0,4,1,12949.68,0
112421,666.0,3,0,76914.85,0
108788,615.0,3,2,28110.54,0
105024,586.0,6,4,23849.05,0
107080,518.0,4,2,19523.68,0
112076,664.0,8,6,11115.34,0
114067,548.0,6,1,18026.07,0
104247,688.0,8,6,0.0,0
113802,588.0,3,1,24581.99,0
114837,459.0,4,1,118065.42,0
107826,556.0,6,4,3149.15,0
109997,641.0,10,8,42298.8,0
112612,547.0,1,1,38684.71,1
107179,686.0,4,2,4800.18,0
112832,808.0,6,4,9018.05,0
114826,600.0,2,1,9741.82,0
112250,715.0,5,3,24896.77,0
