id,num_cards,credit_limit,utilization_ratio,max_utilization_ratio,late_payments
107603,0,0.0,0.0,0.0,0
114975,1,30283.63,0.016,0.089,0
101155,1,10363.85,0.366,0.416,0
102427,0,0.0,0.0,0.0,0
100436,0,0.0,0.0,0.0,0
107145,0,0.0,0.0,0.0,0
112917,0,0.0,0.0,0.0,0
110523,2,21683.84,0.226,0.242,4
103237,1,9296.59,0.363,0.607,1
114833,0,0.0,0.0,0.0,0
103541,4,10206.02,0.385,0.599,0
112846,0,0.0,0.0,0.0,0
110094,1,5557.26,0.622,0.671,3
106846,3,51645.88,0.0,0.157,0
106174,0,0.0,0.0,0.0,0
110178,0,0.0,0.0,0.0,0
113034,1,26678.64,0.325,0.34,0
113121,1,28321.64,0.0,0.013,0
109064,0,0.0,0.0,0.0,0
111643,2,45038.82,0.0,0.1,0
112686,0,0.0,0.0,0.0,0
100426,3,33840.33,0.577,0.66,3
112626,0,0.0,0.0,0.0,0
109218,2,43236.74,0.459,0.614,1
101129,4,16901.83,0.1,0.259,0
110782,0,0.0,0.0,0.0,0
108426,1,20022.74,0.413,0.649,1
100836,1,9495.81,0.269,0.453,0
103475,2,20520.32,0.08,0.272,1
112916,0,0.0,0.0,0.0,0
105501,1,25706.59,0.525,0.724,4
107022,0,0.0,0.0,0.0,0
104372,0,0.0,0.0,0.0,0
110892,0,0.0,0.0,0.0,0
107654,0,0.0,0.0,0.0,0
101443,3,78245.15,0.09,0.216,0
102453,0,0.0,0.0,0.0,0
103848,0,0.0,0.0,0.0,0
101076,4,36900.36,0.031,0.085,0
110949,0,0.0,0.0,0.0,0
114486,2,24923.87,0.384,0.478,0
102454,0,0.0,0.0,0.0,0
108167,0,0.0,0.0,0.0,0
109425,3,33343.15,0.371,0.372,1
108510,0,0.0,0.0,0.0,0
108745,0,0.0,0.0,0.0,0
109922,0,0.0,0.0,0.0,0
100326,0,0.0,0.0,0.0,0
111881,0,0.0,0.0,0.0,0
110434,0,0.0,0.0,0.0,0
100159,3,19067.25,0.107,0.274,0
100866,0,0.0,0.0,0.0,0
106327,1,20991.41,0.168,0.311,0
100062,4,14355.58,0.196,0.341,0
111049,1,8710.17,0.506,0.737,1
107968,0,0.0,0.0,0.0,0
113781,2,4958.94,0.173,0.205,2
113258,2,43652.44,0.389,0.43,1
112453,0,0.0,0.0,0.0,0
105738,0,0.0,0.0,0.0,0
103827,0,0.0,0.0,0.0,0
100822,0,0.0,0.0,0.0,0
104030,0,0.0,0.0,0.0,0
100861,2,5481.78,0.416,0.569,1
110269,1,21205.65,0.345,0.532,2
112627,1,30333.06,0.29,0.396,0
111373,1,13731.01,0.6,0.748,2
105427,1,26150.82,0.316,0.477,2
111193,5,1664.96,0.293,0.363,0
107946,1,36810.71,0.0,0.165,0
107018,0,0.0,0.0,0.0,0
102849,1,23053.92,0.228,0.347,2
106189,0,0.0,0.0,0.0,0
109487,1,18629.85,0.461,0.482,1
103737,1,15712.78,0.564,0.7,1
105619,2,13115.89,0.202,0.471,0
106295,3,14125.0,0.269,0.281,0
105084,0,0.0,0.0,0.0,0
102810,1,9705.19,0.377,0.424,0
109719,1,32290.11,0.54,0.655,2
111805,0,0.0,0.0,0.0,0
106136,2,17550.62,0.104,0.146,0
107866,0,0.0,0.0,0.0,0
109773,0,0.0,0.0,0.0,0
106316,0,0.0,0.0,0.0,0
108127,0,0.0,0.0,0.0,0
111096,0,0.0,0.0,0.0,0
109913,4,40025.05,0.266,0.323,1
102893,0,0.0,0.0,0.0,0
103570,0,0.0,0.0,0.0,0
111796,0,0.0,0.0,0.0,0
106290,0,0.0,0.0,0.0,0
103650,1,32881.33,0.338,0.684,0
102593,0,0.0,0.0,0.0,0
105910,0,0.0,0.0,0.0,0
102448,0,0.0,0.0,0.0,0
103630,0,0.0,0.0,0.0,0
113960,0,0.0,0.0,0.0,0
102806,1,4307.75,0.429,0.503,2
107543,1,23273.03,0.433,0.553,0
105302,0,0.0,0.0,0.0,0
112581,1,31084.27,0.468,0.634,1
109667,1,6068.61,0.404,0.442,4
104099,0,0.0,0.0,0.0,0
110214,0,0.0,0.0,0.0,0
105924,1,33515.82,0.0,0.042,0
106764,0,0.0,0.0,0.0,0
101470,1,44714.51,0.297,0.521,2
105729,0,0.0,0.0,0.0,0
114392,0,0.0,0.0,0.0,0
101574,0,0.0,0.0,0.0,0
109703,0,0.0,0.0,0.0,0
108248,0,0.0,0.0,0.0,0
102620,0,0.0,0.0,0.0,0
107206,1,22474.19,0.046,0.075,0
109039,0,0.0,0.0,0.0,0
113494,1,18767.37,0.256,0.447,1
100146,1,35569.1,0.221,0.23,0
105199,0,0.0,0.0,0.0,0
112249,0,0.0,0.0,0.0,0
103022,3,8210.26,0.319,0.333,1
106341,2,77093.82,0.27,0.39,0
106554,1,39335.63,0.317,0.337,0
110784,2,17017.27,0.748,0.944,0
112274,5,44007.96,0.358,0.434,4
109422,0,0.0,0.0,0.0,0
112476,0,0.0,0.0,0.0,0
107102,0,0.0,0.0,0.0,0
112317,1,9832.21,0.427,0.454,2
111586,1,11402.14,0.236,0.437,0
101071,0,0.0,0.0,0.0,0
114848,1,14976.18,0.387,0.666,2
103016,1,8276.58,0.466,0.66,1
113909,0,0.0,0.0,0.0,0
114064,1,64233.11,0.228,0.304,1
101674,3,14986.65,0.042,0.24,0
102995,0,0.0,0.0,0.0,0
106245,0,0.0,0.0,0.0,0
113545,0,0.0,0.0,0.0,0
112879,1,4872.12,0.07,0.186,1
113319,0,0.0,0.0,0.0,0
102838,0,0.0,0.0,0.0,0
108427,1,14211.88,0.455,0.588,2
109561,1,19934.33,0.765,0.787,3
109383,1,16950.97,0.43,0.509,2
102963,1,14315.18,0.285,0.379,1
112130,0,0.0,0.0,0.0,0
107436,0,0.0,0.0,0.0,0
106478,0,0.0,0.0,0.0,0
102946,2,102882.49,0.543,0.627,2
113845,2,71493.39,0.094,0.23,3
104184,1,10078.96,0.507,0.573,0
110799,1,15352.12,0.212,0.232,1
102465,1,10127.26,0.399,0.535,2
100599,0,0.0,0.0,0.0,0
101157,3,26887.57,0.26,0.339,1
105757,0,0.0,0.0,0.0,0
109927,0,0.0,0.0,0.0,0
103091,3,29821.45,0.366,0.402,0
114779,1,11723.54,0.35,0.37,1
100896,1,9662.43,0.4,0.516,5
114794,2,32642.01,0.225,0.252,0
111491,1,5718.05,0.229,0.323,3
113992,0,0.0,0.0,0.0,0
106410,2,35437.19,0.095,0.165,2
105608,0,0.0,0.0,0.0,0
107883,1,19547.85,0.0,0.109,0
105964,0,0.0,0.0,0.0,0
113980,1,13915.07,0.221,0.396,1
