id,months_on_book,status,dpd,payment_amount
101438,3,Late,3.0,67.3
112056,18,Paid,0.0,30.47
106488,43,Paid,0.0,25.72
111258,13,Late,42.5,97.68
109040,55,Paid,0.0,38.55
114403,11,Paid,0.0,58.8
109731,51,Late,16.6,132.67
105920,17,Paid,0.0,57.12
103189,41,Late,6.2,49.05
110675,35,Paid,0.0,87.64
105273,23,Paid,0.0,25.13
107876,21,Paid,0.0,35.82
103758,11,Paid,0.0,64.62
100347,38,Paid,0.0,82.23
104931,52,Paid,0.0,66.14
107181,51,Paid,0.0,47.37
107604,55,Late,26.1,46.37
109877,28,Paid,0.0,61.31
113813,34,Paid,0.0,31.87
101359,31,Default,62.1,55.69
111740,41,Paid,0.0,38.45
110329,1,Paid,0.0,27.03
104260,59,Default,200.4,47.65
109088,55,Paid,0.0,68.68
106112,5,Late,10.7,28.7
101617,19,Paid,0.0,66.61
106466,12,Paid,0.0,82.78
110690,12,Late,1.3,58.05
109695,4,Paid,0.0,115.32
107585,22,Late,21.8,45.67
111495,18,Paid,0.0,102.44
112545,48,Late,5.6,97.08
110976,44,Paid,0.0,76.28
103019,31,Paid,0.0,41.12
114843,37,Late,30.8,73.38
107880,30,Paid,0.0,103.16
110442,29,Paid,0.0,39.4
111110,28,Paid,0.0,76.32
103153,30,Default,118.8,195.29
103754,22,Late,17.0,116.72
103133,30,Paid,0.0,104.14
110141,56,Paid,0.0,274.96
101916,22,Paid,0.0,44.88
114825,13,Paid,0.0,85.2
101414,19,Paid,0.0,100.54
110317,6,Paid,0.0,98.55
110914,27,Paid,0.0,51.25
102084,39,Late,8.6,62.69
112625,53,Default,51.4,35.0
113812,16,Late,5.8,57.85
108063,16,Paid,0.0,54.28
100115,9,Paid,0.0,69.05
107887,20,Late,24.7,113.8
110535,39,Late,24.3,174.23
103093,18,Late,24.4,87.71
100195,39,Late,33.9,84.94
111528,10,Paid,0.0,61.03
100905,13,Paid,0.0,33.62
114734,43,Paid,0.0,52.23
103908,32,Paid,0.0,42.99
103500,12,Paid,0.0,53.34
106765,1,Late,17.2,65.86
114398,54,Paid,0.0,53.04
111976,48,Default,48.0,89.56
111492,40,Paid,0.0,37.61
100487,55,Paid,0.0,42.36
105882,4,Paid,0.0,46.29
109407,45,Paid,0.0,168.16
100849,5,Paid,0.0,51.73
100264,35,Paid,0.0,28.09
113267,35,Paid,0.0,63.83
106874,39,Paid,0.0,56.59
112589,40,Paid,0.0,75.25
101644,21,Late,1.6,75.31
106894,5,Paid,0.0,65.71
110517,55,Late,1.6,23.38
113647,10,Default,153.1,39.33
103056,53,Paid,0.0,73.65
102551,10,Paid,0.0,64.32
112776,16,Default,45.8,37.63
114519,30,Paid,0.0,52.39
103309,14,Late,28.0,43.44
105515,48,Paid,0.0,38.02
107150,27,Paid,0.0,51.1
106835,41,Paid,0.0,85.59
104774,18,Paid,0.0,28.37
101438,29,Default,78.9,65.89
107466,12,Paid,0.0,45.32
110332,6,Paid,0.0,131.08
110563,16,Late,22.8,83.19
112568,22,Paid,0.0,62.36
106939,31,Paid,0.0,58.49
114108,20,Paid,0.0,68.44
102434,22,Paid,0.0,130.97
110003,48,Paid,0.0,63.78
113838,47,Paid,0.0,71.9
105377,24,Paid,0.0,76.25
100523,35,Paid,0.0,29.99
103353,8,Paid,0.0,75.59
103105,56,Paid,0.0,45.47
114312,54,Paid,0.0,149.5
108114,29,Paid,0.0,200.28
101411,36,Paid,0.0,85.81
109475,16,Paid,0.0,42.21
108354,45,Late,8.2,31.08
114668,19,Paid,0.0,92.92
110549,20,Paid,0.0,102.02
103229,29,Paid,0.0,68.26
109572,16,Paid,0.0,170.52
113029,36,Paid,0.0,39.57
114086,2,Written-off,173.5,41.02
102144,56,Paid,0.0,51.39
105380,25,Paid,0.0,63.8
104861,6,Paid,0.0,115.62
105171,53,Paid,0.0,69.82
100424,17,Paid,0.0,78.45
104283,56,Paid,0.0,70.24
101004,29,Paid,0.0,98.96
109188,8,Paid,0.0,62.92
109900,27,Paid,0.0,76.23
103707,46,Default,197.4,146.34
103282,6,Paid,0.0,52.17
114328,32,Paid,0.0,73.16
