id,num_loans,num_defaults,total_loan_amount,total_repaid_amount,avg_dpd
105286,3,1,67857.04,50621.25,13.4
102133,4,0,73006.41,60284.64,0.1
113280,1,0,11724.74,9074.17,2.3
101889,1,0,16505.04,11417.68,4.1
103605,3,0,63535.22,56820.27,29.4
102669,0,0,0.0,0.0,0.0
100047,1,0,5881.94,3774.37,15.5
106600,2,0,18430.36,17544.33,0.1
112178,0,0,0.0,0.0,0.0
109379,2,1,36149.31,26698.02,28.0
102336,0,0,0.0,0.0,0.0
107219,0,0,0.0,0.0,0.0
112133,2,0,18310.4,13369.8,2.7
112366,3,0,102009.86,81591.06,16.2
109577,0,0,0.0,0.0,0.0
105807,2,0,24002.94,15724.13,1.8
101403,4,0,11439.63,7381.71,4.2
104180,1,0,7534.58,6288.76,5.1
109939,5,0,59236.51,54259.75,0.7
107718,0,0,0.0,0.0,0.0
101427,3,0,23515.4,18366.67,3.9
113548,2,0,23078.24,19772.63,6.8
111594,1,1,14147.61,12110.88,25.9
101742,3,1,118751.13,102134.58,5.9
107664,1,1,9233.15,7976.44,0.8
106702,1,0,11387.38,10295.46,21.1
106905,3,0,7547.81,6931.07,0.6
114237,3,0,16941.36,15325.91,0.3
102702,3,0,19295.34,14411.72,0.3
107445,1,0,24861.26,20196.58,10.0
100207,0,0,0.0,0.0,0.0
113933,1,0,13806.64,11369.23,23.1
114148,2,0,32883.57,24439.17,1.1
110071,3,0,38151.87,29096.4,4.2
105789,2,0,5989.58,4854.02,18.6
111663,1,0,2891.88,2751.08,0.4
103881,0,0,0.0,0.0,0.0
108299,3,0,42202.21,28113.83,11.4
114431,0,0,0.0,0.0,0.0
103197,3,0,7735.95,6777.71,0.1
106243,0,0,0.0,0.0,0.0
114249,4,0,21756.16,15220.21,8.5
101699,1,1,15931.26,15665.18,0.6
105485,2,1,41389.19,30624.36,21.1
104104,1,0,11983.12,10834.72,19.6
100319,1,1,3701.98,3320.52,13.8
108690,0,0,0.0,0.0,0.0
113787,0,0,0.0,0.0,0.0
109621,4,0,26014.49,22658.3,2.3
108694,2,0,15253.03,11021.23,47.7
101470,0,0,0.0,0.0,0.0
100608,1,0,30868.87,26824.02,0.1
114625,2,0,29407.58,22569.4,94.6
110153,1,0,2870.78,2568.95,50.8
108447,3,0,73768.86,61485.52,0.4
108923,0,0,0.0,0.0,0.0
112983,0,0,0.0,0.0,0.0
109080,3,0,22669.61,17464.5,2.0
103816,2,1,23860.6,19062.54,54.6
107899,2,0,9875.19,9237.4,0.0
104189,4,0,66921.5,56346.16,0.6
109340,0,0,0.0,0.0,0.0
109538,0,0,0.0,0.0,0.0
106432,0,0,0.0,0.0,0.0
114512,2,0,26450.2,24572.76,3.5
111624,0,0,0.0,0.0,0.0
103368,2,2,26050.07,24949.64,59.5
104833,1,0,4062.59,2678.07,87.7
112471,1,1,2226.85,1960.78,65.2
114103,0,0,0.0,0.0,0.0
105492,0,0,0.0,0.0,0.0
102333,2,1,20420.22,15867.58,16.6
110817,3,0,16012.03,12405.43,0.7
112403,1,0,6436.76,5043.54,76.7
110063,3,0,59906.57,53124.39,0.2
102516,1,1,5322.53,4618.97,18.4
114687,1,0,33418.76,24181.23,0.6
109751,2,0,21305.09,20252.82,1.9
105043,1,0,1384.59,1049.66,0.5
107187,4,1,57648.02,49657.89,65.3
107381,0,0,0.0,0.0,0.0
107673,2,0,29504.18,29308.49,0.9
105108,3,0,79385.31,66977.3,29.0
104720,1,0,5865.12,5531.91,8.4
107097,3,0,20413.95,12607.91,28.6
