iter	Passed	Remaining
0	13	9228
1	26	9233
2	41	9550
3	54	9523
4	68	9540
5	83	9680
6	97	9639
7	111	9610
8	124	9575
9	139	9597
10	152	9554
11	166	9547
12	180	9555
13	197	9676
14	212	9684
15	226	9693
16	241	9704
17	255	9674
18	269	9649
19	283	9641
20	299	9670
21	313	9657
22	328	9655
23	340	9594
24	352	9518
25	367	9518
26	381	9497
27	396	9514
28	412	9549
29	427	9557
30	440	9508
31	452	9455
32	467	9445
33	478	9375
34	491	9345
35	504	9308
36	517	9270
37	531	9261
38	545	9244
39	559	9229
40	573	9211
41	585	9171
42	598	9144
43	611	9110
44	623	9082
45	636	9055
46	649	9018
47	661	8984
48	673	8951
49	685	8912
50	696	8869
51	712	8876
52	726	8867
53	739	8845
54	752	8826
55	765	8808
56	780	8801
57	795	8804
58	809	8791
59	822	8772
60	835	8752
61	848	8734
62	863	8727
63	877	8718
64	891	8710
65	908	8724
66	924	8729
67	937	8713
68	953	8715
69	967	8707
70	983	8711
71	999	8721
72	1014	8716
73	1029	8711
74	1043	8695
75	1059	8696
76	1072	8679
77	1087	8671
78	1100	8650
79	1115	8648
80	1130	8639
81	1143	8620
82	1159	8616
83	1173	8605
84	1186	8587
85	1201	8578
86	1215	8566
87	1229	8547
88	1242	8530
89	1256	8513
90	1269	8497
91	1282	8476
92	1295	8456
93	1309	8441
94	1323	8431
95	1338	8419
96	1351	8404
97	1364	8384
98	1378	8368
99	1392	8357
100	1405	8338
101	1420	8326
102	1435	8318
103	1450	8311
104	1464	8301
105	1479	8292
106	1493	8278
107	1509	8274
108	1524	8264
109	1537	8246
110	1549	8222
111	1569	8239
112	1582	8220
113	1595	8199
114	1608	8181
115	1622	8170
116	1637	8159
117	1662	8201
118	1675	8179
119	1689	8164
120	1704	8154
121	1717	8135
122	1731	8120
123	1745	8109
124	1760	8097
125	1775	8086
126	1787	8063
127	1800	8043
128	1812	8024
129	1825	8005
130	1839	7990
131	1852	7970
132	1862	7942
133	1878	7933
134	1898	7945
135	1909	7920
136	1925	7913
137	1938	7895
138	1951	7875
139	1964	7859
140	1977	7841
141	1990	7820
142	2003	7803
143	2015	7783
144	2029	7768
145	2042	7752
146	2055	7732
147	2070	7721
148	2084	7707
149	2096	7688
150	2110	7673
151	2123	7656
152	2136	7639
153	2150	7625
154	2167	7621
155	2182	7609
156	2197	7599
157	2211	7585
158	2226	7574
159	2239	7558
160	2253	7543
161	2266	7527
162	2279	7509
163	2292	7492
164	2306	7479
165	2323	7474
166	2336	7457
167	2352	7449
168	2369	7445
169	2384	7433
170	2398	7418
171	2411	7401
172	2426	7392
173	2441	7379
174	2458	7375
175	2471	7359
176	2485	7343
177	2499	7329
178	2512	7312
179	2526	7298
180	2541	7287
181	2555	7272
182	2569	7259
183	2582	7242
184	2595	7226
185	2609	7211
186	2622	7194
187	2635	7176
188	2649	7163
189	2664	7153
190	2683	7152
191	2700	7144
192	2715	7133
193	2730	7121
194	2743	7105
195	2761	7100
196	2776	7090
197	2791	7077
198	2805	7064
199	2818	7047
200	2832	7031
201	2846	7017
202	2859	7001
203	2873	6987
204	2888	6975
205	2901	6958
206	2913	6939
207	2936	6945
208	2952	6935
209	2965	6919
210	2977	6901
211	2990	6884
212	3004	6869
213	3016	6850
214	3029	6833
215	3043	6820
216	3056	6802
217	3070	6789
218	3084	6773
219	3098	6760
220	3111	6743
221	3125	6729
222	3137	6710
223	3150	6693
224	3164	6681
225	3178	6667
226	3195	6657
227	3210	6646
228	3225	6633
229	3240	6620
230	3253	6605
231	3267	6591
232	3281	6576
233	3296	6565
234	3310	6550
235	3324	6536
236	3338	6522
237	3354	6510
238	3368	6498
239	3383	6484
240	3398	6472
241	3414	6462
242	3429	6449
243	3445	6439
244	3461	6428
245	3477	6417
246	3493	6406
247	3507	6392
248	3521	6378
249	3536	6365
250	3552	6354
251	3568	6344
252	3583	6331
253	3598	6317
254	3621	6319
255	3635	6305
256	3651	6293
257	3666	6281
258	3682	6270
259	3696	6255
260	3711	6243
261	3725	6228
262	3739	6213
263	3754	6201
264	3769	6188
265	3783	6172
266	3798	6159
267	3812	6144
268	3826	6130
269	3841	6117
270	3854	6102
271	3871	6092
272	3887	6081
273	3903	6068
274	3919	6057
275	3935	6045
276	3950	6033
277	3966	6021
278	3982	6009
279	3998	5997
280	4012	5982
281	4026	5967
282	4041	5955
283	4056	5941
284	4071	5928
285	4085	5914
286	4098	5897
287	4113	5884
288	4127	5869
289	4142	5856
290	4156	5842
291	4173	5831
292	4188	5817
293	4201	5802
294	4216	5788
295	4229	5773
296	4243	5758
297	4258	5744
298	4273	5730
299	4287	5716
300	4300	5701
301	4315	5687
302	4330	5673
303	4345	5660
304	4359	5645
305	4375	5633
306	4387	5617
307	4402	5602
308	4415	5587
309	4429	5572
310	4444	5559
311	4460	5546
312	4474	5531
313	4487	5515
314	4501	5501
315	4514	5486
316	4528	5471
317	4543	5457
318	4557	5443
319	4573	5430
320	4586	5415
321	4599	5399
322	4613	5385
323	4627	5370
324	4641	5355
325	4656	5342
326	4672	5329
327	4686	5314
328	4703	5303
329	4719	5292
330	4735	5279
331	4751	5266
332	4765	5252
333	4781	5239
334	4795	5224
335	4808	5209
336	4823	5195
337	4838	5181
338	4852	5167
339	4865	5151
340	4879	5137
341	4893	5122
342	4908	5108
343	4921	5093
344	4934	5077
345	4945	5059
346	4956	5041
347	4970	5027
348	4983	5011
349	4995	4995
350	5009	4980
351	5022	4965
352	5036	4951
353	5050	4936
354	5064	4921
355	5077	4906
356	5091	4891
357	5105	4877
358	5119	4862
359	5133	4848
360	5148	4834
361	5162	4820
362	5176	4805
363	5190	4791
364	5205	4777
365	5220	4764
366	5235	4750
367	5249	4736
368	5263	4721
369	5278	4707
370	5293	4694
371	5307	4679
372	5322	4666
373	5335	4650
374	5350	4636
375	5367	4625
376	5383	4612
377	5398	4598
378	5411	4583
379	5425	4568
380	5439	4554
381	5453	4539
382	5467	4525
383	5481	4511
384	5496	4497
385	5510	4482
386	5524	4467
387	5537	4453
388	5550	4437
389	5562	4421
390	5579	4409
391	5592	4393
392	5604	4377
393	5616	4361
394	5629	4346
395	5641	4330
396	5654	4315
397	5677	4308
398	5691	4293
399	5703	4277
400	5717	4262
401	5730	4247
402	5742	4232
403	5755	4217
404	5770	4203
405	5784	4189
406	5797	4173
407	5809	4158
408	5822	4142
409	5835	4127
410	5848	4112
411	5860	4096
412	5879	4085
413	5893	4071
414	5906	4056
415	5922	4043
416	5935	4028
417	5949	4013
418	5963	3999
419	5975	3983
420	5990	3969
421	6004	3955
422	6019	3942
423	6033	3927
424	6049	3914
425	6064	3900
426	6078	3886
427	6092	3871
428	6106	3857
429	6121	3843
430	6135	3829
431	6148	3814
432	6163	3800
433	6175	3785
434	6189	3770
435	6201	3754
436	6214	3740
437	6227	3724
438	6240	3710
439	6253	3695
440	6267	3680
441	6281	3666
442	6292	3650
443	6304	3635
444	6318	3620
445	6331	3605
446	6345	3591
447	6358	3576
448	6370	3561
449	6382	3545
450	6396	3531
451	6412	3518
452	6426	3504
453	6439	3489
454	6455	3475
455	6469	3461
456	6485	3448
457	6499	3434
458	6512	3419
459	6525	3404
460	6539	3390
461	6554	3376
462	6569	3362
463	6586	3349
464	6600	3335
465	6615	3322
466	6630	3307
467	6644	3294
468	6659	3279
469	6673	3265
470	6687	3251
471	6701	3237
472	6716	3223
473	6732	3210
474	6749	3197
475	6763	3182
476	6776	3167
477	6788	3152
478	6808	3141
479	6822	3126
480	6835	3111
481	6847	3096
482	6861	3082
483	6875	3068
484	6887	3053
485	6900	3038
486	6913	3023
487	6927	3009
488	6940	2994
489	6955	2980
490	6968	2966
491	6983	2952
492	6998	2938
493	7012	2924
494	7025	2909
495	7038	2894
496	7051	2880
497	7065	2865
498	7076	2850
499	7091	2836
500	7104	2821
501	7117	2807
502	7133	2793
503	7149	2780
504	7163	2766
505	7179	2752
506	7195	2739
507	7211	2725
508	7229	2712
509	7244	2698
510	7259	2684
511	7273	2670
512	7289	2657
513	7303	2643
514	7319	2629
515	7336	2615
516	7351	2602
517	7368	2588
518	7384	2575
519	7398	2561
520	7415	2547
521	7427	2532
522	7442	2518
523	7457	2504
524	7472	2490
525	7487	2476
526	7501	2462
527	7515	2448
528	7531	2434
529	7544	2420
530	7559	2406
531	7574	2392
532	7589	2377
533	7604	2363
534	7620	2350
535	7635	2336
536	7650	2322
537	7666	2308
538	7683	2294
539	7698	2281
540	7714	2267
541	7729	2253
542	7743	2238
543	7758	2224
544	7775	2211
545	7789	2197
546	7804	2182
547	7821	2169
548	7837	2155
549	7851	2141
550	7868	2127
551	7883	2113
552	7898	2099
553	7913	2085
554	7927	2071
555	7941	2056
556	7957	2042
557	7973	2029
558	7990	2015
559	8003	2000
560	8016	1986
561	8030	1971
562	8044	1957
563	8058	1943
564	8073	1929
565	8087	1914
566	8101	1900
567	8115	1885
568	8131	1872
569	8146	1857
570	8160	1843
571	8174	1829
572	8188	1814
573	8202	1800
574	8217	1786
575	8231	1772
576	8246	1757
577	8260	1743
578	8275	1729
579	8287	1714
580	8301	1700
581	8315	1685
582	8329	1671
583	8344	1657
584	8361	1643
585	8375	1629
586	8388	1614
587	8404	1600
588	8419	1586
589	8435	1572
590	8451	1558
591	8465	1544
592	8481	1530
593	8497	1516
594	8511	1502
595	8526	1487
596	8540	1473
597	8555	1459
598	8570	1445
599	8585	1430
600	8599	1416
601	8615	1402
602	8629	1388
603	8644	1373
604	8658	1359
605	8672	1345
606	8686	1330
607	8700	1316
608	8714	1302
609	8729	1287
610	8744	1273
611	8758	1259
612	8772	1244
613	8787	1230
614	8802	1216
615	8816	1202
616	8830	1187
617	8843	1173
618	8857	1159
619	8871	1144
620	8885	1130
621	8899	1115
622	8914	1101
623	8930	1087
624	8947	1073
625	8962	1059
626	8976	1045
627	8992	1030
628	9007	1016
629	9021	1002
630	9035	988
631	9049	973
632	9064	959
633	9078	945
634	9092	930
635	9107	916
636	9122	902
637	9137	887
638	9153	873
639	9168	859
640	9182	845
641	9196	830
642	9211	816
643	9226	802
644	9240	787
645	9255	773
646	9269	759
647	9284	745
648	9296	730
649	9310	716
650	9325	701
651	9339	687
652	9353	673
653	9367	658
654	9382	644
655	9396	630
656	9411	615
657	9425	601
658	9440	587
659	9453	572
660	9467	558
661	9481	544
662	9494	529
663	9509	515
664	9523	501
665	9536	486
666	9551	472
667	9566	458
668	9580	443
669	9593	429
670	9608	415
671	9622	400
672	9636	386
673	9650	372
674	9666	358
675	9681	343
676	9695	329
677	9709	315
678	9724	300
679	9739	286
680	9754	272
681	9770	257
682	9784	243
683	9799	229
684	9814	214
685	9828	200
686	9842	186
687	9857	171
688	9871	157
689	9885	143
690	9901	128
691	9917	114
692	9933	100
693	9947	85
694	9962	71
695	9976	57
696	9992	43
697	10008	28
698	10021	14
699	10036	0
